Title,URL
"دستمال مرطوب پاک کننده آرایش کمر باریک دافی",https://luxirana.com/product/%d8%af%d8%b3%d8%aa%d9%85%d8%a7%d9%84-%d9%85%d8%b1%d8%b7%d9%88%d8%a8-%d9%be%d8%a7%da%a9-%da%a9%d9%86%d9%86%d8%af%d9%87-%d8%a2%d8%b1%d8%a7%db%8c%d8%b4-%da%a9%d9%85%d8%b1-%d8%a8%d8%a7%d8%b1%db%8c%da%a9/
"کاندوم ناچ کدکس کلاسیک مدل آلوئه ورا بسته 12 عددی",https://luxirana.com/product/%da%a9%d8%a7%d9%86%d8%af%d9%88%d9%85-%d9%86%d8%a7%da%86-%da%a9%d8%af%da%a9%d8%b3-%d9%85%d8%af%d9%84-%d8%a2%d9%84%d9%88%d8%a6%d9%87-%d9%88%d8%b1%d8%a7-%d8%a8%d8%b3%d8%aa%d9%87-12-%d8%b9%d8%af%d8%af/
"کاندوم کدکس مدل Sensitive Pro-Sensation بسته 12 عددی",https://luxirana.com/product/%da%a9%d8%a7%d9%86%d8%af%d9%88%d9%85-%da%a9%d8%af%da%a9%d8%b3-%d9%85%d8%af%d9%84-sensitive-pro-sensation-%d8%a8%d8%b3%d8%aa%d9%87-12-%d8%b9%d8%af%d8%af%db%8c/
"کاندوم کدکس مدل Stand Up Classic بسته 12 عددی",https://luxirana.com/product/%da%a9%d8%a7%d9%86%d8%af%d9%88%d9%85-%da%a9%d8%af%da%a9%d8%b3-%d9%85%d8%af%d9%84-stand-up-classic-%d8%a8%d8%b3%d8%aa%d9%87-12-%d8%b9%d8%af%d8%af%db%8c/
"کاندوم کدکس مدل Red Cactus بسته 12 عددی",https://luxirana.com/product/%da%a9%d8%a7%d9%86%d8%af%d9%88%d9%85-%da%a9%d8%af%da%a9%d8%b3-%d9%85%d8%af%d9%84-red-cactus-%d8%a8%d8%b3%d8%aa%d9%87-12-%d8%b9%d8%af%d8%af%db%8c/
"کاندوم کدکس مدل Double Pomegranate بسته 12 عددی",https://luxirana.com/product/%da%a9%d8%a7%d9%86%d8%af%d9%88%d9%85-%da%a9%d8%af%da%a9%d8%b3-%d9%85%d8%af%d9%84-double-pomegranate-%d8%a8%d8%b3%d8%aa%d9%87-12-%d8%b9%d8%af%d8%af%db%8c/
"کاندوم تاخیری دوبل ناچ مدل Double Delay بسته 12 عددی",https://luxirana.com/?post_type=product&#038;p=46
"کاندوم خاردار ناچ کدکس مدل BIG DOTS بسته 10 عددی",https://luxirana.com/product/%da%a9%d8%a7%d9%86%d8%af%d9%88%d9%85-%d8%ae%d8%a7%d8%b1%d8%af%d8%a7%d8%b1-%d9%86%d8%a7%da%86-%da%a9%d8%af%da%a9%d8%b3-%d9%85%d8%af%d9%84-big-dots-%d8%a8%d8%b3%d8%aa%d9%87-10-%d8%b9%d8%af%d8%af%db%8c/
"کاندوم ناچ کدکس مدل 0.03 بسته 12 عددی",https://luxirana.com/?post_type=product&#038;p=48
"کاندوم تاخیری کدکس مدل Master 3 In 1 بسته 12 عددی",https://luxirana.com/?post_type=product&#038;p=51
"کاندوم تاخیری جینسینگ کدکس مدل Ginseng بسته 12 عددی",https://luxirana.com/?post_type=product&#038;p=52
"کاندوم کدکس مدل Zero Invisible بسته 12 عددی",https://luxirana.com/product/%da%a9%d8%a7%d9%86%d8%af%d9%88%d9%85-%da%a9%d8%af%da%a9%d8%b3-%d9%85%d8%af%d9%84-zero-invisible-%d8%a8%d8%b3%d8%aa%d9%87-12-%d8%b9%d8%af%d8%af%db%8c/
"کاندوم خاردار و حلقوی کدکس مدل Matador بسته 12 عددی",https://luxirana.com/?post_type=product&#038;p=54
